Row ID+O6G3A1:R6,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Returns,Payment Mode,ind1,ind2
20027,IN-2026-000027,27-01-2025,29-01-2025,Second Class,CUST-381,Customer 1089,Home Office,India,Mumbai,Telangana,East,PROD-278,Technology,Tables,Product 144,21591.91,19,7828.5,nan,Net Banking,,
20028,IN-2026-000028,28-01-2025,30-01-2025,Same Day,CUST-146,Customer 1132,Corporate,India,Bengaluru,Karnataka,Central,PROD-82,Furniture,Tables,Product 446,820.63,11,-272.36,nan,Online,,
20029,IN-2026-000029,29-01-2025,31-01-2025,First Class,CUST-1053,Customer 296,Home Office,India,Kolkata,Tamil Nadu,West,PROD-488,Furniture,Storage,Product 59,23951.2,6,-1947.96,nan,UPI,,
20030,IN-2026-000030,30-01-2025,01-02-2025,Second Class,CUST-349,Customer 97,Home Office,India,Kolkata,Karnataka,Central,PROD-564,Furniture,Binders,Product 48,17566.8,19,-1778.54,nan,COD,,
20031,IN-2026-000031,31-01-2025,02-02-2025,Second Class,CUST-476,Customer 437,Corporate,India,Delhi,Telangana,Central,PROD-214,Furniture,Phones,Product 500,579.53,8,5847.27,nan,Net Banking,,
20032,IN-2026-000032,01-02-2025,03-02-2025,Standard Class,CUST-1255,Customer 1285,Consumer,India,Kolkata,West Bengal,East,PROD-511,Office Supplies,Chairs,Product 242,17711.91,6,3949.16,nan,Online,,
20033,IN-2026-000033,02-02-2025,04-02-2025,Standard Class,CUST-540,Customer 760,Home Office,India,Hyderabad,Tamil Nadu,South,PROD-455,Technology,Accessories,Product 563,2307.41,18,5317.32,Yes,Cards,,
20034,IN-2026-000034,03-02-2025,05-02-2025,First Class,CUST-219,Customer 1177,Corporate,India,Chennai,Delhi,South,PROD-401,Technology,Phones,Product 125,16080.03,3,6957.16,nan,UPI,,
20035,IN-2026-000035,04-02-2025,06-02-2025,Same Day,CUST-32,Customer 730,Home Office,India,Pune,Maharashtra,Central,PROD-7,Technology,Storage,Product 96,7696.92,19,-511.04,nan,Net Banking,,
20036,IN-2026-000036,05-02-2025,07-02-2025,Standard Class,CUST-340,Customer 735,Home Office,India,Chennai,Karnataka,West,PROD-246,Furniture,Storage,Product 572,5499.28,1,1004.94,nan,Net Banking,,
20037,IN-2026-000037,06-02-2025,08-02-2025,Same Day,CUST-1372,Customer 901,Corporate,India,Mumbai,Delhi,North,PROD-300,Office Supplies,Phones,Product 166,15795.02,11,5716.08,nan,COD,,
20038,IN-2026-000038,07-02-2025,09-02-2025,Same Day,CUST-823,Customer 1438,Corporate,India,Chennai,Maharashtra,East,PROD-667,Furniture,Binders,Product 47,10992.51,12,-146.69,nan,Cards,,
20039,IN-2026-000039,08-02-2025,10-02-2025,Second Class,CUST-1492,Customer 656,Consumer,India,Pune,Maharashtra,South,PROD-661,Technology,Storage,Product 631,1846.94,19,2566.45,Yes,Online,,
20040,IN-2026-000040,09-02-2025,11-02-2025,First Class,CUST-323,Customer 894,Home Office,India,Hyderabad,West Bengal,Central,PROD-699,Office Supplies,Tables,Product 564,20602.99,18,1877.96,nan,COD,,
20041,IN-2026-000041,10-02-2025,12-02-2025,Standard Class,CUST-527,Customer 1379,Consumer,India,Mumbai,Karnataka,Central,PROD-370,Office Supplies,Chairs,Product 743,6836.54,17,3548.36,nan,Net Banking,,
20042,IN-2026-000042,11-02-2025,13-02-2025,Same Day,CUST-245,Customer 559,Corporate,India,Kolkata,West Bengal,North,PROD-262,Technology,Binders,Product 479,15550.7,18,7870.23,nan,Cards,,
20043,IN-2026-000043,12-02-2025,14-02-2025,First Class,CUST-598,Customer 1260,Corporate,India,Mumbai,Tamil Nadu,Central,PROD-399,Office Supplies,Binders,Product 381,15331.68,17,-1859.13,nan,Net Banking,,
20044,IN-2026-000044,13-02-2025,15-02-2025,Second Class,CUST-845,Customer 803,Consumer,India,Pune,Tamil Nadu,Central,PROD-633,Furniture,Chairs,Product 536,1639.99,10,2331.07,nan,Cards,,
20045,IN-2026-000045,14-02-2025,16-02-2025,Standard Class,CUST-1212,Customer 1318,Corporate,India,Bengaluru,West Bengal,East,PROD-497,Furniture,Accessories,Product 633,24933.58,17,7548.85,nan,Online,,
20046,IN-2026-000046,15-02-2025,17-02-2025,Same Day,CUST-552,Customer 702,Home Office,India,Delhi,Telangana,South,PROD-481,Technology,Accessories,Product 503,11329.6,15,826.65,nan,UPI,,
20047,IN-2026-000047,16-02-2025,18-02-2025,Second Class,CUST-1157,Customer 944,Consumer,India,Kolkata,Maharashtra,East,PROD-347,Furniture,Phones,Product 256,5332.58,8,5146.57,nan,COD,,
20048,IN-2026-000048,17-02-2025,19-02-2025,Same Day,CUST-939,Customer 485,Consumer,India,Hyderabad,Maharashtra,Central,PROD-557,Furniture,Tables,Product 711,11059.51,17,7221.97,nan,UPI,,
20049,IN-2026-000049,18-02-2025,20-02-2025,First Class,CUST-438,Customer 952,Consumer,India,Mumbai,Tamil Nadu,Central,PROD-693,Office Supplies,Tables,Product 562,15175.78,1,-353.32,nan,Net Banking,,
20050,IN-2026-000050,19-02-2025,21-02-2025,Same Day,CUST-1368,Customer 490,Consumer,India,Delhi,Delhi,West,PROD-534,Office Supplies,Binders,Product 701,325.23,2,-2104.82,nan,Online,,
20051,IN-2026-000051,20-02-2025,22-02-2025,Same Day,CUST-651,Customer 914,Consumer,India,Delhi,Delhi,East,PROD-323,Furniture,Accessories,Product 446,7678.31,4,-2167.38,nan,COD,,
20052,IN-2026-000052,21-02-2025,23-02-2025,Standard Class,CUST-227,Customer 1183,Corporate,India,Mumbai,Delhi,South,PROD-672,Furniture,Tables,Product 360,13524.17,11,-2197.07,nan,Cards,,
20053,IN-2026-000053,22-02-2025,24-02-2025,Second Class,CUST-1444,Customer 652,Home Office,India,Kolkata,Telangana,South,PROD-754,Technology,Tables,Product 674,17438.31,2,855.73,nan,COD,,
20054,IN-2026-000054,23-02-2025,25-02-2025,Second Class,CUST-1370,Customer 644,Home Office,India,Mumbai,Karnataka,East,PROD-637,Furniture,Tables,Product 489,8004.32,5,-1611.64,nan,Cards,,
20055,IN-2026-000055,24-02-2025,26-02-2025,Second Class,CUST-75,Customer 483,Home Office,India,Mumbai,Delhi,West,PROD-701,Furniture,Accessories,Product 620,10246.76,5,1455.28,nan,Online,,
20056,IN-2026-000056,25-02-2025,27-02-2025,Standard Class,CUST-1353,Customer 1095,Home Office,India,Pune,Telangana,South,PROD-213,Office Supplies,Tables,Product 712,5725.4,5,5295.4,nan,COD,,
20057,IN-2026-000057,26-02-2025,28-02-2025,First Class,CUST-1421,Customer 888,Corporate,India,Kolkata,Tamil Nadu,East,PROD-337,Office Supplies,Chairs,Product 228,7502.75,2,280.49,nan,COD,,
20058,IN-2026-000058,27-02-2025,01-03-2025,Standard Class,CUST-1243,Customer 775,Home Office,India,Mumbai,Telangana,South,PROD-200,Office Supplies,Accessories,Product 155,17262.1,5,2273.6,nan,UPI,,
20059,IN-2026-000059,28-02-2025,02-03-2025,First Class,CUST-383,Customer 39,Consumer,India,Hyderabad,Delhi,West,PROD-293,Furniture,Phones,Product 120,8597.23,6,-1598.94,nan,COD,,
20060,IN-2026-000060,01-03-2025,03-03-2025,First Class,CUST-947,Customer 166,Home Office,India,Chennai,West Bengal,South,PROD-587,Office Supplies,Storage,Product 480,7170.59,15,4681.19,nan,UPI,,
20061,IN-2026-000061,02-03-2025,04-03-2025,Same Day,CUST-807,Customer 12,Consumer,India,Hyderabad,Maharashtra,Central,PROD-541,Furniture,Tables,Product 646,7639.36,12,494.42,Yes,UPI,,
20062,IN-2026-000062,03-03-2025,05-03-2025,First Class,CUST-930,Customer 1275,Home Office,India,Bengaluru,Tamil Nadu,Central,PROD-3,Office Supplies,Chairs,Product 780,15412.92,6,-1512.52,nan,Online,,
20063,IN-2026-000063,04-03-2025,06-03-2025,Second Class,CUST-925,Customer 1277,Consumer,India,Pune,Tamil Nadu,West,PROD-604,Technology,Tables,Product 27,14130.22,3,7501.38,nan,COD,,
20064,IN-2026-000064,05-03-2025,07-03-2025,Same Day,CUST-959,Customer 102,Consumer,India,Kolkata,Maharashtra,East,PROD-154,Furniture,Phones,Product 2,10320.81,10,5465.85,nan,COD,,
20065,IN-2026-000065,06-03-2025,08-03-2025,Second Class,CUST-771,Customer 70,Corporate,India,Pune,Karnataka,North,PROD-149,Office Supplies,Tables,Product 543,15899.83,6,4175.6,nan,UPI,,
20066,IN-2026-000066,07-03-2025,09-03-2025,Second Class,CUST-1036,Customer 1172,Home Office,India,Kolkata,Delhi,Central,PROD-435,Technology,Tables,Product 216,16159.16,14,4953,nan,Online,,
20067,IN-2026-000067,08-03-2025,10-03-2025,Same Day,CUST-790,Customer 787,Consumer,India,Delhi,Karnataka,South,PROD-193,Furniture,Chairs,Product 381,574.46,5,1680.42,nan,Online,,
20068,IN-2026-000068,09-03-2025,11-03-2025,Second Class,CUST-25,Customer 464,Consumer,India,Hyderabad,Telangana,Central,PROD-770,Office Supplies,Phones,Product 63,8641.72,19,281.64,nan,Net Banking,,
20069,IN-2026-000069,10-03-2025,12-03-2025,Standard Class,CUST-53,Customer 922,Corporate,India,Kolkata,Maharashtra,Central,PROD-117,Office Supplies,Tables,Product 61,6296.15,2,2499.85,nan,UPI,,
20070,IN-2026-000070,11-03-2025,13-03-2025,Second Class,CUST-1437,Customer 355,Home Office,India,Chennai,Tamil Nadu,North,PROD-122,Technology,Storage,Product 422,20770.76,16,6077.84,nan,COD,,
20071,IN-2026-000071,12-03-2025,14-03-2025,Same Day,CUST-1363,Customer 298,Home Office,India,Kolkata,West Bengal,North,PROD-608,Technology,Storage,Product 551,7067.04,13,7601.72,nan,Online,,
20072,IN-2026-000072,13-03-2025,15-03-2025,Standard Class,CUST-878,Customer 551,Corporate,India,Bengaluru,Maharashtra,East,PROD-229,Furniture,Chairs,Product 709,8103.08,13,3658.09,Yes,Cards,,
20073,IN-2026-000073,14-03-2025,16-03-2025,Second Class,CUST-262,Customer 1343,Corporate,India,Kolkata,Maharashtra,Central,PROD-571,Technology,Tables,Product 386,13560.24,17,1139.96,nan,UPI,,
20074,IN-2026-000074,15-03-2025,17-03-2025,Standard Class,CUST-1172,Customer 1150,Corporate,India,Kolkata,Delhi,East,PROD-545,Office Supplies,Chairs,Product 516,13798.13,9,4900.27,nan,UPI,,
20075,IN-2026-000075,16-03-2025,18-03-2025,First Class,CUST-215,Customer 285,Home Office,India,Hyderabad,Tamil Nadu,North,PROD-152,Technology,Phones,Product 688,20321.59,14,4667.75,nan,Net Banking,,
20076,IN-2026-000076,17-03-2025,19-03-2025,Second Class,CUST-566,Customer 843,Consumer,India,Hyderabad,Maharashtra,East,PROD-464,Office Supplies,Storage,Product 346,9851.22,11,-277.89,nan,COD,,
20077,IN-2026-000077,18-03-2025,20-03-2025,Second Class,CUST-495,Customer 1326,Consumer,India,Chennai,West Bengal,South,PROD-429,Furniture,Tables,Product 167,7208.81,14,1790.65,nan,UPI,,
20078,IN-2026-000078,19-03-2025,21-03-2025,Standard Class,CUST-19,Customer 1427,Consumer,India,Bengaluru,Maharashtra,Central,PROD-76,Furniture,Storage,Product 660,15304.02,11,-1525.85,nan,Cards,,
20079,IN-2026-000079,20-03-2025,22-03-2025,First Class,CUST-1210,Customer 1144,Consumer,India,Chennai,Tamil Nadu,Central,PROD-611,Furniture,Binders,Product 2,18274.96,19,1425.06,nan,Online,,
20080,IN-2026-000080,21-03-2025,23-03-2025,First Class,CUST-765,Customer 194,Corporate,India,Kolkata,Maharashtra,East,PROD-686,Furniture,Accessories,Product 221,24816.79,7,5390.24,nan,Cards,,
20081,IN-2026-000081,22-03-2025,24-03-2025,Same Day,CUST-475,Customer 361,Home Office,India,Delhi,Maharashtra,West,PROD-757,Office Supplies,Phones,Product 105,15552.9,14,452.93,nan,Net Banking,,
20082,IN-2026-000082,23-03-2025,25-03-2025,Second Class,CUST-761,Customer 328,Corporate,India,Mumbai,Maharashtra,South,PROD-71,Technology,Phones,Product 515,12395.66,4,3963.36,nan,Net Banking,,
20083,IN-2026-000083,24-03-2025,26-03-2025,Standard Class,CUST-1,Customer 226,Corporate,India,Chennai,Tamil Nadu,Central,PROD-143,Furniture,Tables,Product 216,3543.43,1,604.15,nan,Online,,
20084,IN-2026-000084,25-03-2025,27-03-2025,Same Day,CUST-656,Customer 263,Consumer,India,Bengaluru,Delhi,North,PROD-660,Technology,Storage,Product 276,24676.35,14,-1381.86,nan,Online,,
20085,IN-2026-000085,26-03-2025,28-03-2025,First Class,CUST-779,Customer 475,Corporate,India,Hyderabad,Delhi,North,PROD-244,Office Supplies,Accessories,Product 522,17203.55,5,5155.26,nan,Online,,
20086,IN-2026-000086,27-03-2025,29-03-2025,First Class,CUST-510,Customer 833,Consumer,India,Bengaluru,Tamil Nadu,North,PROD-500,Office Supplies,Storage,Product 237,4334.18,1,3482.43,Yes,UPI,,
20087,IN-2026-000087,28-03-2025,30-03-2025,Standard Class,CUST-1245,Customer 597,Home Office,India,Hyderabad,Tamil Nadu,West,PROD-279,Furniture,Phones,Product 290,11627.01,13,6080.03,nan,Net Banking,,
20088,IN-2026-000088,29-03-2025,31-03-2025,Second Class,CUST-375,Customer 631,Corporate,India,Delhi,Maharashtra,North,PROD-174,Office Supplies,Accessories,Product 399,14117.48,12,4468.5,nan,Net Banking,,
20089,IN-2026-000089,30-03-2025,01-04-2025,Same Day,CUST-207,Customer 369,Corporate,India,Bengaluru,Karnataka,West,PROD-500,Technology,Phones,Product 95,5617.71,13,5989.11,nan,Online,,
20090,IN-2026-000090,31-03-2025,02-04-2025,Same Day,CUST-791,Customer 227,Home Office,India,Hyderabad,Karnataka,North,PROD-165,Office Supplies,Binders,Product 748,18378.92,9,-1295.57,nan,COD,,
20091,IN-2026-000091,01-04-2025,03-04-2025,Second Class,CUST-1331,Customer 1498,Consumer,India,Chennai,Telangana,Central,PROD-109,Technology,Tables,Product 785,16345.85,16,3760.42,nan,COD,,
20092,IN-2026-000092,02-04-2025,04-04-2025,Same Day,CUST-563,Customer 898,Corporate,India,Hyderabad,Karnataka,West,PROD-424,Office Supplies,Tables,Product 570,6035.25,1,1041.16,Yes,Net Banking,,
20093,IN-2026-000093,03-04-2025,05-04-2025,Same Day,CUST-70,Customer 345,Corporate,India,Hyderabad,West Bengal,North,PROD-155,Office Supplies,Phones,Product 87,24746.47,4,5211.57,nan,Net Banking,,
20094,IN-2026-000094,04-04-2025,06-04-2025,Second Class,CUST-1454,Customer 1215,Consumer,India,Bengaluru,Maharashtra,East,PROD-154,Office Supplies,Chairs,Product 378,23729.55,8,3380.95,Yes,Net Banking,,
20095,IN-2026-000095,05-04-2025,07-04-2025,Same Day,CUST-667,Customer 1246,Consumer,India,Bengaluru,Maharashtra,South,PROD-624,Furniture,Chairs,Product 284,6821.65,19,-2404.02,nan,Cards,,
20096,IN-2026-000096,06-04-2025,08-04-2025,Second Class,CUST-260,Customer 1450,Consumer,India,Kolkata,Karnataka,South,PROD-423,Office Supplies,Binders,Product 133,11184.85,14,2869.01,nan,Cards,,
20097,IN-2026-000097,07-04-2025,09-04-2025,Standard Class,CUST-923,Customer 239,Consumer,India,Kolkata,Delhi,East,PROD-434,Furniture,Binders,Product 701,22396,10,5187.2,nan,UPI,,
20098,IN-2026-000098,08-04-2025,10-04-2025,First Class,CUST-480,Customer 960,Home Office,India,Delhi,Telangana,Central,PROD-115,Office Supplies,Tables,Product 332,10305.82,19,-109.33,nan,UPI,,
20099,IN-2026-000099,09-04-2025,11-04-2025,First Class,CUST-1406,Customer 1470,Consumer,India,Hyderabad,Karnataka,Central,PROD-129,Technology,Accessories,Product 522,23881.81,18,4199.79,nan,COD,,
20100,IN-2026-000100,10-04-2025,12-04-2025,Standard Class,CUST-441,Customer 1210,Consumer,India,Chennai,Karnataka,West,PROD-313,Furniture,Phones,Product 553,5210.09,2,6250.18,nan,Online,,
20101,IN-2026-000101,11-04-2025,13-04-2025,Same Day,CUST-825,Customer 339,Home Office,India,Delhi,Tamil Nadu,Central,PROD-311,Furniture,Tables,Product 256,18169.55,11,-2283.16,nan,COD,,
20102,IN-2026-000102,12-04-2025,14-04-2025,Standard Class,CUST-815,Customer 1339,Corporate,India,Hyderabad,Delhi,South,PROD-361,Office Supplies,Accessories,Product 279,15087.78,19,3358.25,nan,Net Banking,,
20103,IN-2026-000103,13-04-2025,15-04-2025,Same Day,CUST-364,Customer 633,Home Office,India,Delhi,Karnataka,Central,PROD-108,Technology,Accessories,Product 776,8818.08,4,6763.61,nan,COD,,
20104,IN-2026-000104,14-04-2025,16-04-2025,Standard Class,CUST-749,Customer 733,Home Office,India,Bengaluru,West Bengal,Central,PROD-718,Furniture,Chairs,Product 659,18015.37,4,-1609.38,nan,Net Banking,,
20105,IN-2026-000105,15-04-2025,17-04-2025,Same Day,CUST-164,Customer 838,Consumer,India,Hyderabad,Tamil Nadu,West,PROD-290,Office Supplies,Accessories,Product 401,849.21,7,-38.28,nan,COD,,
20106,IN-2026-000106,16-04-2025,18-04-2025,Same Day,CUST-965,Customer 1157,Corporate,India,Pune,Tamil Nadu,West,PROD-653,Office Supplies,Tables,Product 427,5964.03,19,3885.16,nan,Net Banking,,
20107,IN-2026-000107,17-04-2025,19-04-2025,Same Day,CUST-1137,Customer 181,Consumer,India,Bengaluru,Tamil Nadu,West,PROD-320,Furniture,Tables,Product 7,6717.06,5,3437.02,nan,Net Banking,,
20108,IN-2026-000108,18-04-2025,20-04-2025,First Class,CUST-1425,Customer 809,Corporate,India,Pune,Karnataka,North,PROD-378,Furniture,Chairs,Product 164,3157.39,13,5727.36,nan,UPI,,
20109,IN-2026-000109,19-04-2025,21-04-2025,Second Class,CUST-489,Customer 1225,Home Office,India,Pune,West Bengal,Central,PROD-90,Office Supplies,Chairs,Product 5,1090.54,6,3919.58,nan,Net Banking,,
20110,IN-2026-000110,20-04-2025,22-04-2025,First Class,CUST-428,Customer 823,Home Office,India,Chennai,West Bengal,East,PROD-541,Technology,Binders,Product 644,8985.45,15,3334.3,nan,Online,,
20111,IN-2026-000111,21-04-2025,23-04-2025,Second Class,CUST-823,Customer 412,Home Office,India,Mumbai,Karnataka,Central,PROD-48,Furniture,Phones,Product 752,5652.3,17,1970.37,nan,Cards,,
20112,IN-2026-000112,22-04-2025,24-04-2025,Same Day,CUST-1039,Customer 85,Consumer,India,Hyderabad,West Bengal,North,PROD-598,Technology,Storage,Product 130,3538.46,1,-2139.26,nan,Online,,
20113,IN-2026-000113,23-04-2025,25-04-2025,First Class,CUST-1488,Customer 824,Consumer,India,Delhi,Delhi,Central,PROD-705,Office Supplies,Accessories,Product 225,4143.44,8,3501.97,nan,UPI,,
20114,IN-2026-000114,24-04-2025,26-04-2025,Second Class,CUST-38,Customer 1055,Corporate,India,Kolkata,Maharashtra,South,PROD-289,Technology,Storage,Product 282,20700.1,11,-1277.12,nan,Cards,,
20115,IN-2026-000115,25-04-2025,27-04-2025,First Class,CUST-358,Customer 824,Consumer,India,Bengaluru,Maharashtra,Central,PROD-710,Office Supplies,Binders,Product 649,2598.85,4,7954.34,Yes,COD,,
20116,IN-2026-000116,26-04-2025,28-04-2025,First Class,CUST-394,Customer 1469,Corporate,India,Pune,Telangana,Central,PROD-559,Furniture,Binders,Product 326,18190.17,13,-2136.5,nan,Net Banking,,
20117,IN-2026-000117,27-04-2025,29-04-2025,Standard Class,CUST-383,Customer 904,Home Office,India,Pune,Tamil Nadu,Central,PROD-3,Office Supplies,Storage,Product 35,1585.37,7,-2167.12,nan,UPI,,
20118,IN-2026-000118,28-04-2025,30-04-2025,Standard Class,CUST-696,Customer 762,Consumer,India,Chennai,Karnataka,Central,PROD-163,Technology,Phones,Product 469,1255.64,1,5660.62,nan,UPI,,
20119,IN-2026-000119,29-04-2025,01-05-2025,Standard Class,CUST-1309,Customer 84,Home Office,India,Kolkata,Maharashtra,North,PROD-513,Office Supplies,Binders,Product 118,11195.52,12,-1887.18,nan,Online,,
20120,IN-2026-000120,30-04-2025,02-05-2025,Standard Class,CUST-47,Customer 838,Home Office,India,Pune,Tamil Nadu,South,PROD-561,Technology,Tables,Product 516,9700.86,1,1455.84,nan,UPI,,
20121,IN-2026-000121,01-05-2025,03-05-2025,Second Class,CUST-1223,Customer 253,Home Office,India,Kolkata,Maharashtra,South,PROD-75,Office Supplies,Tables,Product 685,13757.28,4,7202.49,nan,Cards,,
20122,IN-2026-000122,02-05-2025,04-05-2025,First Class,CUST-926,Customer 1087,Consumer,India,Delhi,Karnataka,West,PROD-548,Furniture,Storage,Product 55,17640.42,4,5666.71,nan,Net Banking,,
20123,IN-2026-000123,03-05-2025,05-05-2025,First Class,CUST-923,Customer 242,Consumer,India,Chennai,Karnataka,Central,PROD-648,Furniture,Storage,Product 795,7917.82,1,-438.74,nan,Cards,,
20124,IN-2026-000124,04-05-2025,06-05-2025,Second Class,CUST-1017,Customer 1360,Consumer,India,Kolkata,West Bengal,East,PROD-74,Office Supplies,Phones,Product 530,5061.58,8,-238.67,nan,UPI,,
20125,IN-2026-000125,05-05-2025,07-05-2025,Same Day,CUST-173,Customer 453,Consumer,India,Pune,Telangana,West,PROD-703,Furniture,Storage,Product 42,20597.39,17,3514.97,nan,COD,,
20126,IN-2026-000126,06-05-2025,08-05-2025,First Class,CUST-1120,Customer 651,Consumer,India,Chennai,Maharashtra,Central,PROD-426,Office Supplies,Accessories,Product 176,4341.35,6,2350.83,nan,Cards,,
20127,IN-2026-000127,07-05-2025,09-05-2025,Standard Class,CUST-372,Customer 218,Corporate,India,Delhi,West Bengal,North,PROD-493,Furniture,Chairs,Product 134,20011.71,5,-1715.79,nan,Cards,,
20128,IN-2026-000128,08-05-2025,10-05-2025,Same Day,CUST-775,Customer 316,Consumer,India,Mumbai,Tamil Nadu,East,PROD-41,Office Supplies,Accessories,Product 707,14781.89,16,-1254.88,nan,Cards,,
